sample_id,batch,substrate,operator,flow_rate_ml_min,stage_speed_mm_s,passes,thickness_nm,roughness_nm,defect_density_per_mm2,coverage_percent,qc_status,reviewed,flags,notes
S-001,B-2026-06-A,glass,AR,0.18,8.5,3,118.4,7.8,0.3,98.7,pass,true,,"Baseline candidate; balanced metrics"
S-002,B-2026-06-A,glass,MC,0.22,8.5,3,141.2,12.4,1.2,97.9,review,false,roughness_high,"Roughness high, needs second SEM image"
S-003,B-2026-06-B,silicon,AR,0.16,10.0,4,109.9,6.4,0.2,99.1,pass,true,best_candidate,"Lowest roughness with high coverage"
S-004,B-2026-06-B,silicon,MC,0.30,6.0,2,165.5,19.7,2.6,95.4,fail,true,"too_thick;roughness_out_of_range","Reject from optimization set"
S-005,B-2026-06-C,polyimide,AR,0.14,9.5,5,101.8,8.1,0.7,98.2,pass,true,,"Flexible substrate; monitor curl"
S-006,B-2026-06-C,polyimide,MC,0.24,7.0,3,149.6,14.2,1.8,96.8,review,false,edge_beading,"Edge beading observed, repeat needed"
S-007,B-2026-06-D,glass,AR,0.20,8.0,4,132.0,9.3,0.5,98.4,pass,true,,"Quoted note with ""stable spray cone"""
S-008,B-2026-06-D,glass,MC,0.26,8.0,4,151.4,16.0,1.9,96.1,review,false,"roughness_high;coverage_low","Check atomizer alignment"
S-009,B-2026-06-E,silicon,AR,0.12,11.0,5,94.5,5.9,0.1,99.4,pass,true,thin,"Thin but within criteria"
S-010,B-2026-06-E,silicon,MC,0.32,5.5,2,171.2,22.4,3.1,94.0,fail,true,"too_thick;defect_density_high","Outlier from low stage speed"
S-011,B-2026-06-F,glass,AR,1.2e-1,12.0,6,91.2,6.1,0.4,98.9,pass,true,leading_zero_id,"Uses scientific notation in flow rate"
S-012,B-2026-06-F,glass,MC,0.19,9.0,3,120.0,,0.6,98.0,review,false,missing_roughness,"Blank roughness cell for missing value"
S-013,B-2026-06-G,steel,AR,0.21,7.5,3,130.6,10.4,0.8,97.2,pass,true,,"Steel substrate exploratory run"
S-014,B-2026-06-G,steel,MC,0.27,7.5,3,158.9,18.5,2.1,95.8,review,false,"borderline;defect_density_high","Borderline roughness and defect density"
S-015,B-2026-06-H,glass,AR,0.17,8.5,3,116.1,7.1,0.2,99.0,pass,true,,"Repeat of S-001 condition"
S-016,B-2026-06-H,glass,MC,0.23,8.5,3,144.7,13.0,1.4,97.5,review,false,roughness_high,"Repeat of S-002 condition"
S-017,B-2026-06-I,polyimide,AR,0.15,10.5,4,104.2,7.6,0.5,98.6,pass,true,,"Good flexible-substrate candidate"
S-018,B-2026-06-I,polyimide,MC,0.28,6.5,2,160.3,18.2,2.2,95.9,fail,true,"roughness_out_of_range;coverage_low","Too much material at low speed"
S-019,B-2026-06-J,silicon,AR,0.13,10.0,5,98.8,6.8,0.2,99.2,pass,true,,"Close to S-003 with lower flow"
S-020,B-2026-06-J,silicon,MC,0.25,8.0,3,150.1,15.2,1.5,96.7,review,false,roughness_high,"Candidate for alignment check"
